Adı,Adres,Enlem,Boylam
Konya Büyükşehir Belediyesi Başkanlığı Kılıçarslan Toplantı Salonu,Ferhuniye Mahallesi. Sultanmesut Sokak. No:7 Selçuklu/KONYA (Kılıçarslan Şehir Meydanı),37.8753525461312,32.4911845337295
Genel Sekreterlik,Konevi Mahallesi. Millet Caddesi. No:14 C Blok 2. Kat,37.87047859733951,32.4829769741439
Genel Sekreter Yardımcısı - Şükrü KOYUNCU,Konevi Mahallesi. Millet Caddesi. No:14 Meram/KONYA (Eski Hava Hastanesi),37.87029560203911,32.4825652037048
Hukuk Müşavirliği,Konevi Mahallesi. Millet Caddesi. No:14 E Blok Giriş Kat,37.87047859733951,32.4829716097259
Genel Sekreter Yardımcısı - Ahmet Furkan KUŞDEMİR,İhsaniye Mahallesi Kazım Karabekir Caddesi No:56 Selçuklu/KONYA (Eski SGK Binası),37.8708526985576,32.4831524456634
KOSKİ Genel Müdürlüğü,İhsaniye Mahallesi Kazım Karabekir Caddesi No:56 Selçuklu/KONYA (Eski SGK Binası),37.8708267561317,32.483044734085
Teftiş Kurulu Başkanlığı,Konevi Mahallesi. Millet Caddesi. No:14 C Blok 2. Kat,37.8704870666874,32.482993067398
Hukuk Müşavirliği Evrak Kayıt Bürosu (Dilekçe ve Evrak Teslim),Ferhuniye Mahallesi. Sultanmesut Sokak. No:11 Selçuklu/KONYA (Kılıçarslan Şehir Meydanı),37.8755579139569,32.4912435423278
Bilgi İşlem Dairesi Başkanlığı  Elkart Şube Müdürlüğü - Merkez Elkart Bürosu,İhsaniye Mahallesi. Müneccimbaşı Sokak. No:5/B Selçuklu/KONYA,37.873693,32.487235
Bilgi İşlem Dairesi Başkanlığı  Kılıçarslan Elkart Bürosu,Bosna Hersek Mahallesi. Osmanlı Caddesi. No:2 Selçuklu/Konya (Kılıçarslan Gençlik Merkezi),38.008652,32.519945
Bilgi İşlem Dairesi Başkanlığı,Konevi Mahallesi. Millet Caddesi. No:14 Meram/KONYA (Eski Hava Hastanesi),37.870339,32.482589
Basın Yayın Halkla ilişkiler Dairesi Başkanlığı,İhsaniye Mahallesi Kazım Karabekir Caddesi No:56 Selçuklu/KONYA (Eski SGK Binası),37.8707878646482,32.4828842263709
Çevre Koruma ve Kontrol Dairesi Başkanlığı,Ferhuniye Mahallesi. Sultanmesut Sokak. No:21 Selçuklu/KONYA (Kılıçarslan Şehir Meydanı),37.876114733119294,32.4908921729469
İnsan Kaynakları ve Eğitim Dairesi Başkanlığı,Konevi Mahallesi. Millet Caddesi. No:14 Meram/KONYA (Eski Hava Hastanesi),37.869978,32.482415
Çevre Koruma ve Kontrol Dairesi Başkanlığı,Ferhuniye Mahallesi. Sultanmesut Sokak. No:12 Selçuklu/KONYA (Kılıçarslan Şehir Meydanı),37.876138022042,32.4914312969589
Destek Hizmetleri Dairesi Başkanlığı,Tatlıcak Mahallesi. Okyar Caddesi. No:2/D Karatay/KONYA,37.869884,32.573915
Basın Yayın Halkla İlişkiler Dairesi Başkanlığı Tasarım -İletişim Ofisi,Konevi Mahallesi. Alay Caddesi. No:13 Meram/KONYA,37.868935,32.477095
