Adı;Adres;Enlem;Boylam
Konya Büyükşehir Belediyesi Başkanlığı Kılıçarslan Toplantı Salonu;Ferhuniye Mahallesi. Sultanmesut Sokak. No:7 Selçuklu/KONYA (Kılıçarslan şehir Meydanı);37.87535254613120;32.49118453372950
Genel Sekreterlik;Konevi Mahallesi. Millet Caddesi. No:14 C Blok 2. Kat;37.870478597339504;32.48297697414390
Genel Sekreter Yardımcısı - Şükrü KOYUNCU;Konevi Mahallesi. Millet Caddesi. No:14 Meram/KONYA (Eski Hava Hastanesi);37.870295602039104;32.482565203704800
Hukuk Müşavirliği;Konevi Mahallesi. Millet Caddesi. No:14 E Blok Giriş Kat;37.870478597339504;32.48297160972590
Genel Sekreter Yardımcısı - Ahmet Furkan KUŞDEMİR;ihsaniye Mahallesi Kazım Karabekir Caddesi No:56 Selçuklu/KONYA (Eski SGK Binası);37.870852698557600;32.483152445663400
KOSKI Genel Müdürlüğü;ihsaniye Mahallesi Kazım Karabekir Caddesi No:56 Selçuklu/KONYA (Eski SGK Binası);37.870826756131696;32.48304473408500
Teftiş Kurulu Başkanlığı;Konevi Mahallesi. Millet Caddesi. No:14 C Blok 2. Kat;37.87048706668740;32.48299306739800
Hukuk Müşavirliği Evrak Kayıt Bürosu (Dilekçe ve Evrak Teslim);Ferhuniye Mahallesi. Sultanmesut Sokak. No:11 Selçuklu/KONYA (Kılıçarslan şehir Meydanı);37.875557913956896;32.49124354232780
Bilgi İşlem Dairesi Başkanlığı  Elkart Şube Müdürlüğü - Merkez Elkart Bürosu;ihsaniye Mahallesi. Müneccimbaşı Sokak. No:5/B Selçuklu/KONYA;37.873693;32.487235
Bilgi İşlem Dairesi Başkanlığı  Kılıçarslan Elkart Bürosu;Bosna Hersek Mahallesi. Osmanlı Caddesi. No:2 Selçuklu/Konya (Kılıçarslan GenÃ§lik Merkezi);38.008652;32.519945
Bilgi işŸlem Dairesi Başkanlığı;Konevi Mahallesi. Millet Caddesi. No:14 Meram/KONYA (Eski Hava Hastanesi);37.870339;32.482589
Basın Yayın Halkla ilişkiler Dairesi Başkanlığı;ihsaniye Mahallesi Kazım Karabekir Caddesi No:56 Selçuklu/KONYA (Eski SGK Binası);37.870787864648200;32.48288422637090
Çevre Koruma ve Kontrol Dairesi Başkanlığı;Ferhuniye Mahallesi. Sultanmesut Sokak. No:21 Selçuklu/KONYA (Kılıçarslan şehir Meydanı);37.876114733119296;32.490892172946900
İnsan Kaynakları ve Eğitim Dairesi Başkanlığı;Konevi Mahallesi. Millet Caddesi. No:14 Meram/KONYA (Eski Hava Hastanesi);37.869978;32.482415
Çevre Koruma ve Kontrol Dairesi Başkanlığı;Ferhuniye Mahallesi. Sultanmesut Sokak. No:12 Selçuklu/KONYA (Kılıçarslan şehir Meydanı);37.876138022042000;32.49143129695890
Destek Hizmetleri Dairesi Başkanlığı;Tatlıcak Mahallesi. Okyar Caddesi. No:2/D Karatay/KONYA;37.869884;32.573915
