ilceler;ahsap;karkas;beton;celik;diger;toplam
SELÇUKLU;10;0;129;0;665;804
MERAM;75;0;99;2;341;517
KARATAY;109;0;79;1;421;610
SANCAK;0;0;0;0;0;0
AKÖREN;6;1;1;0;27;35
AKŞEHİR;57;20;21;0;430;528
ALTINEKİN;0;0;3;0;68;71
BEYŞEHİR;33;9;18;1;344;405
BOZKIR;2;1;7;0;31;41
CİHANBEYLİ;0;27;6;0;69;102
ÇELTİK;3;0;0;0;92;95
ÇUMRA;1;3;11;0;196;211
DERBENT;7;1;0;0;29;37
DEREBUCAK;0;0;1;0;13;14
DOĞANHİSAR;18;0;0;1;130;149
EMİRGAZİ;12;2;0;0;18;32
EREĞLİ;95;2;42;0;311;450
GÜNEYSINIR;6;4;5;1;30;46
HADİM;11;0;3;0;33;47
HÜYÜK;0;0;1;0;119;120
ILGIN;22;11;16;2;210;261
KADINHANI;45;2;2;1;197;247
KARAPINAR;4;3;10;0;155;172
KULU;0;0;37;0;203;240
SARAYÖNÜ;0;0;7;0;125;132
SEYDİŞEHİR;24;12;9;0;226;271
TAŞKENT;2;1;0;0;10;13
YALIHÜYÜK;12;1;3;0;39;55
YUNAK;0;1;2;0;140;143
