ilceler,ahsap,karkas,beton,celik,diger,toplam
SELÇUKLU,30,2,131,0,805,968
MERAM,51,4,101,2,557,715
KARATAY,128,0,109,2,788,1027
SANCAK,0,0,0,0,0,0
AKÖREN,70,5,0,0,0,75
AKŞEHİR,25,9,31,0,464,529
ALTINEKİN,0,0,7,1,79,87
BEYŞEHİR,41,4,13,5,541,604
BOZKIR,0,1,2,0,76,79
CİHANBEYLİ,1,15,4,0,177,197
ÇELTİK,10,0,1,0,79,90
ÇUMRA,1,3,8,5,283,300
DERBENT,0,0,0,0,24,24
DEREBUCAK,13,0,0,0,6,19
DOĞANHİSAR,35,0,2,0,148,185
EMİRGAZİ,2,4,1,3,81,91
EREĞLİ,82,0,33,1,335,451
GÜNEYSINIR,7,7,6,1,44,65
HADİM,3,0,4,1,39,47
HÜYÜK,1,0,0,0,261,262
ILGIN,6,11,17,0,198,232
KADINHANI,207,4,0,0,36,247
KARAPINAR,0,2,15,1,292,310
KULU,0,0,25,0,364,389
SARAYÖNÜ,67,0,6,2,176,251
SEYDİŞEHİR,23,10,4,1,355,393
TAŞKENT,0,2,1,0,28,31
YALIHÜYÜK,76,0,0,0,12,88
YUNAK,0,0,3,0,161,164
