,yıl,ay,kart_tipi,kart_kullanim_sayisi
0,2019,ocak,65 YAŞ ÜSTÜ,510326
1,2019,ocak,DİĞER,370107
2,2019,ocak,BASIN,7670
3,2019,ocak,ENGELLİ,79
4,2019,ocak,GÖRME ENGELLİ,1434
5,2019,ocak,GÖRME ENGELLİ REFAKATLİ,610
6,2019,ocak,İNDİRİMLİ,2824180
7,2019,ocak,KAMU,2840
8,2019,ocak,MUHTAR,1685
9,2019,ocak,SOSYAL KART,34589
10,2019,ocak,TAM ABONMAN,498496
11,2019,ocak,TAM KART,2627574
12,2019,subat,65 YAŞ ÜSTÜ,533000
13,2019,subat,DİĞER,361528
14,2019,subat,BASIN,6625
15,2019,subat,ENGELLİ,50
16,2019,subat,GÖRME ENGELLİ,1524
17,2019,subat,GÖRME ENGELLİ REFAKATLİ,477
18,2019,subat,İNDİRİMLİ,3165120
19,2019,subat,KAMU,3015
20,2019,subat,MUHTAR,1604
21,2019,subat,SOSYAL KART,41026
22,2019,subat,TAM ABONMAN,457482
23,2019,subat,TAM KART,2430928
24,2019,mart,65 YAŞ ÜSTÜ,592984
25,2019,mart,DİĞER,401322
26,2019,mart,BASIN,6595
27,2019,mart,ENGELLİ,88
28,2019,mart,GÖRME ENGELLİ,1737
29,2019,mart,GÖRME ENGELLİ REFAKATLİ,740
30,2019,mart,İNDİRİMLİ,4053522
31,2019,mart,KAMU,3063
32,2019,mart,MUHTAR,1404
33,2019,mart,SOSYAL KART,46098
34,2019,mart,TAM ABONMAN,509615
35,2019,mart,TAM KART,2709623
36,2019,nisan,65 YAŞ ÜSTÜ,596643
37,2019,nisan,DİĞER,389004
38,2019,nisan,BASIN,6516
39,2019,nisan,ENGELLİ,91
40,2019,nisan,GÖRME ENGELLİ,1640
41,2019,nisan,GÖRME ENGELLİ REFAKATLİ,780
42,2019,nisan,İNDİRİMLİ,3820900
43,2019,nisan,KAMU,3296
44,2019,nisan,MUHTAR,1092
45,2019,nisan,SOSYAL KART,45367
46,2019,nisan,TAM ABONMAN,497945
47,2019,nisan,TAM KART,2708863
48,2019,mayis,65 YAŞ ÜSTÜ,588511
49,2019,mayis,DİĞER,391088
50,2019,mayis,BASIN,6108
51,2019,mayis,ENGELLİ,69
52,2019,mayis,GÖRME ENGELLİ,1816
53,2019,mayis,GÖRME ENGELLİ REFAKATLİ,833
54,2019,mayis,İNDİRİMLİ,3562559
55,2019,mayis,KAMU,3271
56,2019,mayis,MUHTAR,644
57,2019,mayis,SOSYAL KART,46773
58,2019,mayis,TAM ABONMAN,468292
59,2019,mayis,TAM KART,2510068
60,2019,haziran,65 YAŞ ÜSTÜ,501989
61,2019,haziran,DİĞER,298989
62,2019,haziran,BASIN,4900
63,2019,haziran,ENGELLİ,71
64,2019,haziran,GÖRME ENGELLİ,1530
65,2019,haziran,GÖRME ENGELLİ REFAKATLİ,539
66,2019,haziran,İNDİRİMLİ,1937209
67,2019,haziran,KAMU,2243
68,2019,haziran,MUHTAR,489
69,2019,haziran,SOSYAL KART,38534
70,2019,haziran,TAM ABONMAN,376789
71,2019,haziran,TAM KART,2366108
72,2019,temmuz,65 YAŞ ÜSTÜ,574263
73,2019,temmuz,DİĞER,340161
74,2019,temmuz,BASIN,5769
75,2019,temmuz,ENGELLİ,105
76,2019,temmuz,GÖRME ENGELLİ,1737
77,2019,temmuz,GÖRME ENGELLİ REFAKATLİ,957
78,2019,temmuz,İNDİRİMLİ,1711824
79,2019,temmuz,KAMU,2818
80,2019,temmuz,MUHTAR,614
