tarih,oyun,izleyici_sayisi,doluluk_orani_%
2018-10-24 20:00:00,Abdülhamid Ateş Çemberi,751,98.56019935026058
2018-10-23 20:00:00,Abdülhamid Ateş Çemberi,745,97.77276766437302
2018-10-29 20:00:00,Asım Bir Varoluş Mücadelesi,748,98.1664835073168
2018-10-30 20:00:00,Asım Bir Varoluş Mücadelesi,590,77.43078244561084
2018-05-11 20:00:00,Bir Yunus Hikayesi,675,88.58606466235139
2018-06-11 20:00:00,Bir Yunus Hikayesi,469,61.55091011354489
2018-12-11 20:00:00,Abdülhamid Ateş Çemberi,769,100.9224944079233
2018-11-19 20:00:00,Asım Bir Varoluş Mücadelesi,331,43.43998133813083
2018-11-20 20:00:00,Asım Bir Varoluş Mücadelesi,437,57.35127445547786
2018-11-27 19:18:00,Bir Yunus Hikayesi,432,56.69508138390489
2018-11-28 20:00:00,Bir Yunus Hikayesi,389,51.051820968377314
2018-03-12 20:00:00,Abdülhamid Ateş Çemberi,752,98.69143796457519
2018-04-12 20:00:00,Abdülhamid Ateş Çemberi,759,99.61010826477734
2018-10-12 20:00:00,Asım Bir Varoluş Mücadelesi,488,64.04444378552219
2018-11-12 20:00:00,Asım Bir Varoluş Mücadelesi,544,71.39380618713949
2018-12-24 20:00:00,Bir Yunus Hikayesi,438,57.48251306979246
2018-12-25 20:00:00,Bir Yunus Hikayesi,374,49.0832417536584
2018-12-27 19:18:00,Asım Bir Varoluş Mücadelesi,746,97.9040062786876
