ilce_adi;mahalle_adi;alternatif_yeni_urun_cesitleri_uretimi
Ahırlı;ALİÇERÇİ;AYÇİÇEĞİ
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;YOK
Ahırlı;BÜYÜKÖZ;YOK
Ahırlı;ÇİFTLİK;YOK
Ahırlı;ERDOĞAN;YOK
Ahırlı;KARACAKUYU;YOK
Ahırlı;KAYACIK;YOK
Ahırlı;KURUÇAY;YOK
Ahırlı;KÜÇÜKÖZ;YOK
Akören;AVDAN;YOK
Akören;KAYASU;BEZELYE
Akören;AHMEDİYE;YOK
Akören;ALAN;ASPİR
Akören;BELKUYU;SİLAJLIK MISIR
Akören;ÇATÖREN;YOK
Akören;DUTLU;YOK
Akören;ORHANİYE;KİNOA, ASPİR, ÇÖREKOTU
Akören;SÜLEYMANİYE;SUSAM, ASPİR
Akören;TÜLCE;YOK
Akören;KARAHÜYÜK;ASPİR
Akşehir;ÇAKILLAR;YOK
Akşehir;GEDİL;ASPİR
Akşehir;KARAHÜYÜK;YOK
Akşehir;ADSIZ;ÇİLEK
Akşehir;ALANYURT;YOK
Akşehir;ALTUNTAŞ;YOK
Akşehir;ATAKENT;ÇİLEK
Akşehir;BOZLAĞAN;MISIR, ASPİR
Akşehir;CANKURTARAN;YOK
Akşehir;ÇAMLI;YOK
Akşehir;ÇİMENDERE;YOK
Akşehir;DEĞİRMENKÖY;CEVİZ
Akşehir;DOĞRUGÖZ;SARIMSAK, ASPİR
Akşehir;ENGİLİ;YOK
Akşehir;GÖLÇAYIR;YOK
Akşehir;GÖZPINARI;YOK
Akşehir;ILICAK;YOK
Akşehir;KARABULUT;YOK
Akşehir;ORTACA;YOK
Akşehir;ORTAKÖY;YOK
Akşehir;REİS;ASPİR
Akşehir;SAVAŞ;YOK
Akşehir;SORKUN;ÇİLEK, AHUDUDU
Akşehir;SÖĞÜTLÜ;YOK
Akşehir;TEKKE;YOK
Akşehir;TİPİKÖY;YOK
Akşehir;ULUPINAR;YOK
Akşehir;ÜÇHÜYÜK;YOK
Akşehir;YAŞARLAR;ASPİR
Akşehir;YAYLABELEN;YOK
