,ilce_adi,mahalle_adi,alternatif_yeni_urun_cesitleri_uretimi
0,Ahırlı,ALİÇERÇİ,AYÇİÇEĞİ
1,Ahırlı,BADEMLİ,YOK
2,Ahırlı,BALIKLAVA,YOK
3,Ahırlı,BÜYÜKÖZ,YOK
4,Ahırlı,ÇİFTLİK,YOK
5,Ahırlı,ERDOĞAN,YOK
6,Ahırlı,KARACAKUYU,YOK
7,Ahırlı,KAYACIK,YOK
8,Ahırlı,KURUÇAY,YOK
9,Ahırlı,KÜÇÜKÖZ,YOK
10,Akören,AVDAN,YOK
11,Akören,KAYASU,BEZELYE
12,Akören,AHMEDİYE,YOK
13,Akören,ALAN,ASPİR
14,Akören,BELKUYU,SİLAJLIK MISIR
15,Akören,ÇATÖREN,YOK
16,Akören,DUTLU,YOK
17,Akören,ORHANİYE,"KİNOA, ASPİR, ÇÖREKOTU"
18,Akören,SÜLEYMANİYE,"SUSAM, ASPİR"
19,Akören,TÜLCE,YOK
20,Akören,KARAHÜYÜK,ASPİR
21,Akşehir,ÇAKILLAR,YOK
22,Akşehir,GEDİL,ASPİR
23,Akşehir,KARAHÜYÜK,YOK
24,Akşehir,ADSIZ,ÇİLEK
25,Akşehir,ALANYURT,YOK
26,Akşehir,ALTUNTAŞ,YOK
27,Akşehir,ATAKENT,ÇİLEK
28,Akşehir,BOZLAĞAN,"MISIR, ASPİR"
29,Akşehir,CANKURTARAN,YOK
30,Akşehir,ÇAMLI,YOK
31,Akşehir,ÇİMENDERE,YOK
32,Akşehir,DEĞİRMENKÖY,CEVİZ
33,Akşehir,DOĞRUGÖZ,"SARIMSAK, ASPİR"
34,Akşehir,ENGİLİ,YOK
35,Akşehir,GÖLÇAYIR,YOK
36,Akşehir,GÖZPINARI,YOK
37,Akşehir,ILICAK,YOK
38,Akşehir,KARABULUT,YOK
39,Akşehir,ORTACA,YOK
40,Akşehir,ORTAKÖY,YOK
41,Akşehir,REİS,ASPİR
42,Akşehir,SAVAŞ,YOK
43,Akşehir,SORKUN,"ÇİLEK, AHUDUDU"
44,Akşehir,SÖĞÜTLÜ,YOK
45,Akşehir,TEKKE,YOK
46,Akşehir,TİPİKÖY,YOK
47,Akşehir,ULUPINAR,YOK
48,Akşehir,ÜÇHÜYÜK,YOK
49,Akşehir,YAŞARLAR,ASPİR
50,Akşehir,YAYLABELEN,YOK
51,Akşehir,YAZLA,"NOHUT, ASPİR, ÇÖREKOTU"
52,Akşehir,YENİKÖY,YOK
53,Akşehir,YEŞİLKÖY,YOK
54,Akşehir,SARAY,YOK
55,Altınekin,OĞUZELİ,YOK
56,Altınekin,AKCAŞAR,YOK
57,Altınekin,AYIŞIĞI,YOK
58,Altınekin,AKKÖY,YOK
59,Altınekin,BORUKKUYU,"PATATES, ÇEREZLİK KABAK, GÜL"
60,Altınekin,HACINUMAN,ASPİR
61,Altınekin,KARAKAYA,YOK
62,Altınekin,KOÇAŞ,KİMYON
63,Altınekin,KOÇYAKA,YOK
64,Altınekin,MANTAR,YOK
65,Altınekin,YENİÖLMEZ,"SİLAJLIK MISIR, FASULYE"
66,Altınekin,SARNIÇ,"KANOLA, ASPİR"
67,Altınekin,TOPRAKLIK,YOK
68,Altınekin,YENİKUYU,KANOLA
69,Altınekin,YENİYAYLA,YOK
70,Altınekin,DEDELER,"SİLAJLIK MISIR, KİNOA, ÇÖREKOTU"
71,Altınekin,AKINCILAR,YOK
72,Beyşehir,ADAKÖY,ÇİLEK
73,Beyşehir,AĞILÖNÜ,YOK
74,Beyşehir,AKBURUN,YOK
75,Beyşehir,AKÇABELEN,ŞEKER PANCARI
76,Beyşehir,AVDANCIK,PATATES
77,Beyşehir,BADEMLİ,YOK
78,Beyşehir,BAYAT,YOK
79,Beyşehir,BAYAVŞAR,YOK
80,Beyşehir,BAYINDIR,YOK
81,Beyşehir,BAŞGÖZE,YOK
82,Beyşehir,BEKDEMİR,YOK
83,Beyşehir,DAMLAPINAR,"KANOLA, LAVANTA"
84,Beyşehir,DOĞANBEY,"SİLAJLIK MISIR, FİĞ, KORUNGA"
85,Beyşehir,DOĞANCIK,YOK
86,Beyşehir,DUMANLI,YOK
87,Beyşehir,EMEN,"AYÇİÇEĞİ, ASPİR, HAŞHAŞ"
88,Beyşehir,ESENCE,YOK
89,Beyşehir,EYLİKLER,YOK
90,Beyşehir,EĞİRLER,"KANOLA, ASPİR"
91,Beyşehir,FASILLAR,"ASPİR, ÇÖREKOTU"
92,Beyşehir,GÖKÇEKUYU,BEZELYE
93,Beyşehir,GÖKÇİMEN,YOK
94,Beyşehir,GÖLKAŞI,YOK
95,Beyşehir,GÖLYAKA,YOK
96,Beyşehir,GÖNEN,YOK
97,Beyşehir,GÖÇÜ,YOK
98,Beyşehir,GÜNDOĞDU,ASPİR
99,Beyşehir,HUĞLU,"ÜZÜM, CEVİZ"
100,Beyşehir,HÜSEYİNLER,"ŞEFTALİ, KİRAZ"
101,Beyşehir,İSAKÖY,"MERCİMEK, ASPİR"
102,Beyşehir,KARAALİ,YOK
103,Beyşehir,KARABAYAT,PATATES
104,Beyşehir,KARADİKEN,YOK
105,Beyşehir,KARAHİSAR,ASPİR
106,Beyşehir,KAYABAŞI,YOK
107,Beyşehir,KURUCUOVA,YOK
108,Beyşehir,KUŞLUCA,YOK
109,Beyşehir,KÜÇÜKAVŞAR,YOK
110,Beyşehir,MESUTLAR,ÇİLEK
111,Beyşehir,SADIKHACI,YOK
112,Beyşehir,SARIKÖY,"KANOLA, ASPİR, HAŞHAŞ"
113,Beyşehir,SEVİNDİK,YOK
114,Beyşehir,ŞAMLAR,"BEZELYE, ASPİR"
115,Beyşehir,ÜÇPINAR,YOK
116,Beyşehir,ÜSTÜNLER,"BEZELYE, KİNOA, AYÇİÇEĞİ"
117,Beyşehir,ÜZÜMLÜ,YOK
118,Beyşehir,YAZYURDU,YOK
119,Beyşehir,YENİDOĞAN,YOK
120,Beyşehir,YEŞİLDAĞ,YOK
121,Beyşehir,YUKARIESENCE,YOK
122,Beyşehir,YUNUSLAR,"CEVİZ, ÇİLEK"
123,Beyşehir,ÇİFTLİK,ASPİR
124,Beyşehir,ÇİVRİL,"SARIMSAK, AHUDUDU, BÖĞÜRTLEN, KORUNGA"
125,Beyşehir,ÇUKURAĞIL,YOK
126,Bozkır,ÇAĞLAYAN,YOK
127,Bozkır,HAMZALAR,YOK
128,Bozkır,AKÇAPINAR,ÇİLEK
129,Bozkır,ARMUTLU,YOK
130,Bozkır,ARSLANTAŞ,YOK
131,Bozkır,AYDINKIŞLA,YOK
132,Bozkır,AYVALCA,ÇİLEK
133,Bozkır,BAĞYURDU,YOK
134,Bozkır,BAYBAĞAN,YOK
135,Bozkır,BOZDAM,YOK
136,Bozkır,DEREİÇİ,"CEVİZ, BADEM"
137,Bozkır,DEREKÖY,YOK
138,Bozkır,ELMAAĞAÇ,YOK
139,Bozkır,HACILAR,YOK
140,Bozkır,HACIYUNUSLAR,YOK
141,Bozkır,HARMANPINAR,YOK
142,Bozkır,HİSARLIK,"GOJİ BERRY, ÇİLEK"
143,Bozkır,IŞIKLAR,YOK
144,Bozkır,KARABAYIR,YOK
145,Bozkır,KARACAARDIÇ,YOK
146,Bozkır,KARACAHİSAR,YOK
147,Bozkır,KARAYAHYA,YOK
148,Bozkır,KAYACILAR,YOK
149,Bozkır,KAYAPINAR,KİRAZ
150,Bozkır,KINIK,YOK
151,Bozkır,KIZILÇAKIR,YOK
152,Bozkır,KİLDERE,"LAVANTA, GÜL"
153,Bozkır,KOVANLIK,YOK
154,Bozkır,KOZAĞAÇ,YOK
155,Bozkır,KUŞÇA,YOK
156,Bozkır,KÜÇÜKHİSARLIK,YOK
157,Bozkır,PINARCIK,YOK
158,Bozkır,SARIOĞLAN,ÇİLEK
159,Bozkır,SAZLI,"ÇİLEK, AHUDUDU"
160,Bozkır,SOĞUCAK,YOK
161,Bozkır,SORKUN,ÇİLEK
162,Bozkır,SÖĞÜT,YOK
163,Bozkır,TARLABAŞI,YOK
164,Bozkır,TAŞBAŞI,YOK
165,Bozkır,TEPEARASI,YOK
166,Bozkır,TEPELİCE,YOK
167,Bozkır,ULUPINAR,YOK
168,Bozkır,ÜÇPINAR,YOK
169,Bozkır,YALNIZCA,YOK
170,Bozkır,YAZDAMI,YOK
171,Bozkır,YELBEYİ,YOK
172,Bozkır,YENİKÖY,YOK
173,Bozkır,YOLÖREN,YOK
174,Çeltik,GÖKPINAR,ÇÖREKOTU
175,Çeltik,ADAKASIM,REZENE
176,Çeltik,DOĞANYURT,ASPİR
177,Çeltik,KAŞÖREN,"REZENE, KANOLA"
178,Çeltik,KÜÇÜKHASAN,"REZENE, ASPİR"
179,Çeltik,TORUNLAR,KANOLA
180,Çeltik,İSHAKUŞAĞI,REZENE
181,Çeltik,HONAMLI,YOK
182,Cihanbeyli,BÖĞRÜDELİK,"NOHUT, KİMYON, ASPİR"
183,Cihanbeyli,YAPALI,YOK
184,Cihanbeyli,YENİCEOBA,"NOHUT, FASULYE"
185,Cihanbeyli,CUMHURİYET,YOK
186,Cihanbeyli,GEMECİK,ÇİLEK
187,Cihanbeyli,GÖKTEPE,ASPİR
188,Cihanbeyli,AĞABEYLİ,YOK
189,Cihanbeyli,HODOĞLU,YOK
190,Cihanbeyli,KAYI,"FİĞ, ASPİR"
191,Cihanbeyli,KIRKIŞLA,YOK
192,Cihanbeyli,KORKMAZLAR,"KİMYON, ASPİR"
193,Cihanbeyli,KÜÇÜKBEŞKAVAK,YOK
194,Cihanbeyli,MUTLUKONAK,YOK
195,Cihanbeyli,SAĞLIK,"NOHUT, MERCİMEK"
196,Cihanbeyli,SIĞIRCIK,AYÇİÇEĞİ
197,Cihanbeyli,TURANLAR,YOK
198,Cihanbeyli,TÜFEKÇİPINAR,"KANOLA, ASPİR"
199,Cihanbeyli,UZUNCAYAYLA,ASPİR
200,Cihanbeyli,YÜNLÜKUYU,ASPİR
201,Cihanbeyli,ZAFERİYE,ASPİR
202,Cihanbeyli,GÖLYAZI,ASPİR
203,Cihanbeyli,GÜNYÜZÜ,YOK
204,Cihanbeyli,İNSUYU,YOK
205,Cihanbeyli,KANDİL,YOK
206,Cihanbeyli,KARABAĞ,YOK
207,Cihanbeyli,KELHASAN,"ANASON, ASPİR"
208,Cihanbeyli,KUŞCA,ASPİR
209,Cihanbeyli,KÜTÜKUŞAĞI,"KANOLA, ASPİR"
210,Cihanbeyli,TAŞPINAR,YOK
211,Cihanbeyli,BEYLİOVA,"KANOLA, ASPİR"
212,Cihanbeyli,ÇİMEN,YOK
213,Cihanbeyli,ÇÖL,YOK
214,Cihanbeyli,DAMLAKUYU,ASPİR
215,Cihanbeyli,BULDUK,"KANOLA, ASPİR"
216,Cihanbeyli,BÜYÜKBEŞKAVAK,YOK
217,Cihanbeyli,KARATEPE,MERCİMEK
218,Çumra,ARIKÖREN,YOK
219,Çumra,DEDEMOĞLU,YOK
220,Çumra,TÜRKMENCAMİLİ,YOK
221,Çumra,A.B.HÜYÜĞÜ,"ÇİLEK, KANOLA"
222,Çumra,DİNEK,YOK
223,Çumra,İÇERİÇUMRA,YOK
224,Çumra,GÜVERCİNLİK,"FİĞ, AYÇİÇEĞİ"
225,Çumra,KARKIN,KANOLA
226,Çumra,OKÇU,AYÇİÇEĞİ
227,Çumra,YENİSU,YOK
228,Çumra,APA,YOK
229,Çumra,ABDİTOLU,FİĞ
230,Çumra,ADAKALE,YOK
231,Çumra,ALEMDAR,"KANOLA, ASPİR"
232,Çumra,APASARAYCIK,YOK
233,Çumra,AFŞAR,YOK
234,Çumra,AVDUL,YOK
235,Çumra,BALÇIKHİSAR,KANOLA
236,Çumra,BEYLERCE,FİĞ
237,Çumra,B.AŞLAMA,KANOLA
238,Çumra,CİCEK,YOK
239,Çumra,ÇUKURKAVAK,YOK
240,Çumra,DİNLENDİK,YOK
241,Çumra,DİNEKSARAY,YOK
242,Çumra,DOĞANLI,YOK
243,Çumra,FETHİYE,YOK
244,Çumra,GÖKHÜYÜK,YOK
245,Çumra,ERENTEPE,YOK
246,Çumra,İNLİ,YOK
247,Çumra,KUZUCU,ASPİR
248,Çumra,KÜÇÜKKÖY,KANOLA
249,Çumra,SEÇME,YOK
250,Çumra,SÜRGÜÇ,YOK
251,Çumra,TAHTALI,YOK
252,Çumra,T.KARAHÜYÜK,"FİĞ, KANOLA"
253,Çumra,TAŞAĞIL,YOK
254,Çumra,UZUNKUYU,KİMYON
255,Çumra,ÜÇHÜYÜK,YOK
