ilce_adi;mahalle_adi;aricilik
Ahırlı;ALİÇERÇİ;HAYIR
Ahırlı;BADEMLİ;EVET
Ahırlı;BALIKLAVA;EVET
Ahırlı;BÜYÜKÖZ;EVET
Ahırlı;ÇİFTLİK;EVET
Ahırlı;ERDOĞAN;EVET
Ahırlı;KARACAKUYU;EVET
Ahırlı;KAYACIK;EVET
Ahırlı;KURUÇAY;EVET
Ahırlı;KÜÇÜKÖZ;HAYIR
Akören;AVDAN;EVET
Akören;KAYASU;EVET
Akören;AHMEDİYE;EVET
Akören;ALAN;EVET
Akören;BELKUYU;EVET
Akören;ÇATÖREN;EVET
Akören;DUTLU;HAYIR
Akören;ORHANİYE;EVET
Akören;SÜLEYMANİYE;EVET
Akören;TÜLCE;EVET
Akören;KARAHÜYÜK;EVET
Akşehir;ÇAKILLAR;EVET
Akşehir;GEDİL;HAYIR
Akşehir;KARAHÜYÜK;HAYIR
Akşehir;ADSIZ;EVET
Akşehir;ALANYURT;EVET
Akşehir;ALTUNTAŞ;EVET
Akşehir;ATAKENT;HAYIR
Akşehir;BOZLAĞAN;HAYIR
Akşehir;CANKURTARAN;EVET
Akşehir;ÇAMLI;HAYIR
Akşehir;ÇİMENDERE;EVET
Akşehir;DEĞİRMENKÖY;EVET
Akşehir;DOĞRUGÖZ;EVET
Akşehir;ENGİLİ;EVET
Akşehir;GÖLÇAYIR;HAYIR
Akşehir;GÖZPINARI;HAYIR
Akşehir;ILICAK;EVET
Akşehir;KARABULUT;HAYIR
Akşehir;ORTACA;EVET
Akşehir;ORTAKÖY;HAYIR
Akşehir;REİS;HAYIR
Akşehir;SAVAŞ;EVET
Akşehir;SORKUN;HAYIR
Akşehir;SÖĞÜTLÜ;HAYIR
Akşehir;TEKKE;EVET
Akşehir;TİPİKÖY;HAYIR
Akşehir;ULUPINAR;HAYIR
Akşehir;ÜÇHÜYÜK;HAYIR
Akşehir;YAŞARLAR;HAYIR
Akşehir;YAYLABELEN;HAYIR
Akşehir;YAZLA;EVET
Akşehir;YENİKÖY;EVET
Akşehir;YEŞİLKÖY;HAYIR
Akşehir;SARAY;EVET
Altınekin;OĞUZELİ;HAYIR
Altınekin;AKCAŞAR;HAYIR
Altınekin;AYIŞIĞI;HAYIR
Altınekin;AKKÖY;HAYIR
Altınekin;BORUKKUYU;EVET
Altınekin;HACINUMAN;HAYIR
Altınekin;KARAKAYA;EVET
Altınekin;KOÇAŞ;EVET
Altınekin;KOÇYAKA;EVET
Altınekin;MANTAR;HAYIR
