,ilce_adi,mahalle_adi,aricilik
0,Ahırlı,ALİÇERÇİ,HAYIR
1,Ahırlı,BADEMLİ,EVET
2,Ahırlı,BALIKLAVA,EVET
3,Ahırlı,BÜYÜKÖZ,EVET
4,Ahırlı,ÇİFTLİK,EVET
5,Ahırlı,ERDOĞAN,EVET
6,Ahırlı,KARACAKUYU,EVET
7,Ahırlı,KAYACIK,EVET
8,Ahırlı,KURUÇAY,EVET
9,Ahırlı,KÜÇÜKÖZ,HAYIR
10,Akören,AVDAN,EVET
11,Akören,KAYASU,EVET
12,Akören,AHMEDİYE,EVET
13,Akören,ALAN,EVET
14,Akören,BELKUYU,EVET
15,Akören,ÇATÖREN,EVET
16,Akören,DUTLU,HAYIR
17,Akören,ORHANİYE,EVET
18,Akören,SÜLEYMANİYE,EVET
19,Akören,TÜLCE,EVET
20,Akören,KARAHÜYÜK,EVET
21,Akşehir,ÇAKILLAR,EVET
22,Akşehir,GEDİL,HAYIR
23,Akşehir,KARAHÜYÜK,HAYIR
24,Akşehir,ADSIZ,EVET
25,Akşehir,ALANYURT,EVET
26,Akşehir,ALTUNTAŞ,EVET
27,Akşehir,ATAKENT,HAYIR
28,Akşehir,BOZLAĞAN,HAYIR
29,Akşehir,CANKURTARAN,EVET
30,Akşehir,ÇAMLI,HAYIR
31,Akşehir,ÇİMENDERE,EVET
32,Akşehir,DEĞİRMENKÖY,EVET
33,Akşehir,DOĞRUGÖZ,EVET
34,Akşehir,ENGİLİ,EVET
35,Akşehir,GÖLÇAYIR,HAYIR
36,Akşehir,GÖZPINARI,HAYIR
37,Akşehir,ILICAK,EVET
38,Akşehir,KARABULUT,HAYIR
39,Akşehir,ORTACA,EVET
40,Akşehir,ORTAKÖY,HAYIR
41,Akşehir,REİS,HAYIR
42,Akşehir,SAVAŞ,EVET
43,Akşehir,SORKUN,HAYIR
44,Akşehir,SÖĞÜTLÜ,HAYIR
45,Akşehir,TEKKE,EVET
46,Akşehir,TİPİKÖY,HAYIR
47,Akşehir,ULUPINAR,HAYIR
48,Akşehir,ÜÇHÜYÜK,HAYIR
49,Akşehir,YAŞARLAR,HAYIR
50,Akşehir,YAYLABELEN,HAYIR
51,Akşehir,YAZLA,EVET
52,Akşehir,YENİKÖY,EVET
53,Akşehir,YEŞİLKÖY,HAYIR
54,Akşehir,SARAY,EVET
55,Altınekin,OĞUZELİ,HAYIR
56,Altınekin,AKCAŞAR,HAYIR
57,Altınekin,AYIŞIĞI,HAYIR
58,Altınekin,AKKÖY,HAYIR
59,Altınekin,BORUKKUYU,EVET
60,Altınekin,HACINUMAN,HAYIR
61,Altınekin,KARAKAYA,EVET
62,Altınekin,KOÇAŞ,EVET
63,Altınekin,KOÇYAKA,EVET
64,Altınekin,MANTAR,HAYIR
65,Altınekin,YENİÖLMEZ,EVET
66,Altınekin,SARNIÇ,EVET
67,Altınekin,TOPRAKLIK,HAYIR
68,Altınekin,YENİKUYU,EVET
69,Altınekin,YENİYAYLA,EVET
70,Altınekin,DEDELER,EVET
71,Altınekin,AKINCILAR,EVET
72,Beyşehir,ADAKÖY,EVET
73,Beyşehir,AĞILÖNÜ,EVET
74,Beyşehir,AKBURUN,HAYIR
75,Beyşehir,AKÇABELEN,EVET
76,Beyşehir,AVDANCIK,EVET
77,Beyşehir,BADEMLİ,EVET
78,Beyşehir,BAYAT,HAYIR
79,Beyşehir,BAYAVŞAR,EVET
80,Beyşehir,BAYINDIR,HAYIR
81,Beyşehir,BAŞGÖZE,EVET
82,Beyşehir,BEKDEMİR,HAYIR
83,Beyşehir,DAMLAPINAR,EVET
84,Beyşehir,DOĞANBEY,EVET
85,Beyşehir,DOĞANCIK,HAYIR
86,Beyşehir,DUMANLI,EVET
87,Beyşehir,EMEN,EVET
88,Beyşehir,ESENCE,HAYIR
89,Beyşehir,EYLİKLER,HAYIR
90,Beyşehir,EĞİRLER,EVET
91,Beyşehir,FASILLAR,EVET
92,Beyşehir,GÖKÇEKUYU,EVET
93,Beyşehir,GÖKÇİMEN,EVET
94,Beyşehir,GÖLKAŞI,EVET
95,Beyşehir,GÖLYAKA,EVET
96,Beyşehir,GÖNEN,EVET
97,Beyşehir,GÖÇÜ,EVET
98,Beyşehir,GÜNDOĞDU,EVET
99,Beyşehir,HUĞLU,EVET
100,Beyşehir,HÜSEYİNLER,EVET
101,Beyşehir,İSAKÖY,EVET
102,Beyşehir,KARAALİ,HAYIR
103,Beyşehir,KARABAYAT,EVET
104,Beyşehir,KARADİKEN,EVET
105,Beyşehir,KARAHİSAR,EVET
106,Beyşehir,KAYABAŞI,EVET
107,Beyşehir,KURUCUOVA,EVET
108,Beyşehir,KUŞLUCA,HAYIR
109,Beyşehir,KÜÇÜKAVŞAR,EVET
110,Beyşehir,MESUTLAR,HAYIR
111,Beyşehir,SADIKHACI,EVET
112,Beyşehir,SARIKÖY,HAYIR
113,Beyşehir,SEVİNDİK,EVET
114,Beyşehir,ŞAMLAR,EVET
115,Beyşehir,ÜÇPINAR,EVET
116,Beyşehir,ÜSTÜNLER,EVET
117,Beyşehir,ÜZÜMLÜ,HAYIR
118,Beyşehir,YAZYURDU,EVET
119,Beyşehir,YENİDOĞAN,EVET
120,Beyşehir,YEŞİLDAĞ,EVET
121,Beyşehir,YUKARIESENCE,HAYIR
122,Beyşehir,YUNUSLAR,HAYIR
123,Beyşehir,ÇİFTLİK,EVET
124,Beyşehir,ÇİVRİL,EVET
125,Beyşehir,ÇUKURAĞIL,EVET
126,Bozkır,ÇAĞLAYAN,EVET
127,Bozkır,HAMZALAR,EVET
128,Bozkır,AKÇAPINAR,HAYIR
129,Bozkır,ARMUTLU,EVET
130,Bozkır,ARSLANTAŞ,EVET
131,Bozkır,AYDINKIŞLA,EVET
132,Bozkır,AYVALCA,HAYIR
133,Bozkır,BAĞYURDU,EVET
134,Bozkır,BAYBAĞAN,EVET
135,Bozkır,BOZDAM,HAYIR
136,Bozkır,DEREİÇİ,EVET
137,Bozkır,DEREKÖY,EVET
138,Bozkır,ELMAAĞAÇ,HAYIR
139,Bozkır,HACILAR,EVET
140,Bozkır,HACIYUNUSLAR,HAYIR
141,Bozkır,HARMANPINAR,EVET
142,Bozkır,HİSARLIK,EVET
143,Bozkır,IŞIKLAR,HAYIR
144,Bozkır,KARABAYIR,EVET
145,Bozkır,KARACAARDIÇ,HAYIR
146,Bozkır,KARACAHİSAR,EVET
147,Bozkır,KARAYAHYA,HAYIR
148,Bozkır,KAYACILAR,HAYIR
149,Bozkır,KAYAPINAR,HAYIR
150,Bozkır,KINIK,EVET
151,Bozkır,KIZILÇAKIR,EVET
152,Bozkır,KİLDERE,EVET
153,Bozkır,KOVANLIK,EVET
154,Bozkır,KOZAĞAÇ,EVET
155,Bozkır,KUŞÇA,HAYIR
156,Bozkır,KÜÇÜKHİSARLIK,HAYIR
157,Bozkır,PINARCIK,EVET
158,Bozkır,SARIOĞLAN,HAYIR
159,Bozkır,SAZLI,EVET
160,Bozkır,SOĞUCAK,HAYIR
161,Bozkır,SORKUN,EVET
162,Bozkır,SÖĞÜT,EVET
163,Bozkır,TARLABAŞI,HAYIR
164,Bozkır,TAŞBAŞI,EVET
165,Bozkır,TEPEARASI,EVET
166,Bozkır,TEPELİCE,EVET
167,Bozkır,ULUPINAR,EVET
168,Bozkır,ÜÇPINAR,EVET
169,Bozkır,YALNIZCA,EVET
170,Bozkır,YAZDAMI,HAYIR
171,Bozkır,YELBEYİ,EVET
172,Bozkır,YENİKÖY,HAYIR
173,Bozkır,YOLÖREN,EVET
174,Çeltik,GÖKPINAR,HAYIR
175,Çeltik,ADAKASIM,HAYIR
176,Çeltik,DOĞANYURT,HAYIR
177,Çeltik,KAŞÖREN,HAYIR
178,Çeltik,KÜÇÜKHASAN,HAYIR
179,Çeltik,TORUNLAR,EVET
180,Çeltik,İSHAKUŞAĞI,HAYIR
181,Çeltik,HONAMLI,EVET
182,Cihanbeyli,BÖĞRÜDELİK,EVET
183,Cihanbeyli,YAPALI,HAYIR
184,Cihanbeyli,YENİCEOBA,HAYIR
185,Cihanbeyli,CUMHURİYET,HAYIR
186,Cihanbeyli,GEMECİK,EVET
187,Cihanbeyli,GÖKTEPE,HAYIR
188,Cihanbeyli,AĞABEYLİ,HAYIR
189,Cihanbeyli,HODOĞLU,HAYIR
190,Cihanbeyli,KAYI,HAYIR
191,Cihanbeyli,KIRKIŞLA,HAYIR
192,Cihanbeyli,KORKMAZLAR,HAYIR
193,Cihanbeyli,KÜÇÜKBEŞKAVAK,HAYIR
194,Cihanbeyli,MUTLUKONAK,HAYIR
195,Cihanbeyli,SAĞLIK,HAYIR
196,Cihanbeyli,SIĞIRCIK,HAYIR
197,Cihanbeyli,TURANLAR,HAYIR
198,Cihanbeyli,TÜFEKÇİPINAR,HAYIR
199,Cihanbeyli,UZUNCAYAYLA,HAYIR
200,Cihanbeyli,YÜNLÜKUYU,HAYIR
201,Cihanbeyli,ZAFERİYE,HAYIR
202,Cihanbeyli,GÖLYAZI,HAYIR
203,Cihanbeyli,GÜNYÜZÜ,HAYIR
204,Cihanbeyli,İNSUYU,HAYIR
205,Cihanbeyli,KANDİL,HAYIR
206,Cihanbeyli,KARABAĞ,HAYIR
207,Cihanbeyli,KELHASAN,HAYIR
208,Cihanbeyli,KUŞCA,HAYIR
209,Cihanbeyli,KÜTÜKUŞAĞI,HAYIR
210,Cihanbeyli,TAŞPINAR,HAYIR
211,Cihanbeyli,BEYLİOVA,HAYIR
212,Cihanbeyli,ÇİMEN,HAYIR
213,Cihanbeyli,ÇÖL,HAYIR
214,Cihanbeyli,DAMLAKUYU,HAYIR
215,Cihanbeyli,BULDUK,HAYIR
216,Cihanbeyli,BÜYÜKBEŞKAVAK,HAYIR
217,Cihanbeyli,KARATEPE,EVET
218,Çumra,ARIKÖREN,EVET
219,Çumra,DEDEMOĞLU,EVET
220,Çumra,TÜRKMENCAMİLİ,HAYIR
221,Çumra,A.B.HÜYÜĞÜ,EVET
222,Çumra,DİNEK,EVET
223,Çumra,İÇERİÇUMRA,HAYIR
224,Çumra,GÜVERCİNLİK,HAYIR
225,Çumra,KARKIN,HAYIR
226,Çumra,OKÇU,EVET
227,Çumra,YENİSU,EVET
228,Çumra,APA,EVET
