ilce_adi,mahalle_adi,endemik_bitki_1,endemik_bitki_2,endemik_bitki_3
Ahırlı,ALİÇERÇİ,YOK,YOK,YOK
Ahırlı,BADEMLİ,YOK,YOK,YOK
Ahırlı,BALIKLAVA,YOK,YOK,YOK
Ahırlı,BÜYÜKÖZ,YOK,YOK,YOK
Ahırlı,ÇİFTLİK,YOK,YOK,YOK
Ahırlı,ERDOĞAN,YOK,YOK,YOK
Ahırlı,KARACAKUYU,YOK,YOK,YOK
Ahırlı,KAYACIK,YOK,YOK,YOK
Ahırlı,KURUÇAY,YOK,YOK,YOK
Ahırlı,KÜÇÜKÖZ,YOK,YOK,YOK
Akören,AVDAN,YOK,YOK,YOK
Akören,KAYASU,YOK,YOK,YOK
Akören,AHMEDİYE,YOK,YOK,YOK
Akören,ALAN,YOK,YOK,YOK
Akören,BELKUYU,YOK,YOK,YOK
Akören,ÇATÖREN,YOK,YOK,YOK
Akören,DUTLU,YOK,YOK,YOK
Akören,ORHANİYE,YOK,YOK,YOK
Akören,SÜLEYMANİYE,YOK,YOK,YOK
Akören,TÜLCE,YOK,YOK,YOK
Akören,KARAHÜYÜK,YOK,YOK,YOK
Akşehir,ÇAKILLAR,YOK,YOK,YOK
Akşehir,GEDİL,YOK,YOK,YOK
Akşehir,KARAHÜYÜK,YOK,YOK,YOK
Akşehir,ADSIZ,YOK,YOK,YOK
Akşehir,ALANYURT,YOK,YOK,YOK
Akşehir,ALTUNTAŞ,YOK,YOK,YOK
Akşehir,ATAKENT,YOK,YOK,YOK
Akşehir,BOZLAĞAN,YOK,YOK,YOK
Akşehir,CANKURTARAN,YOK,YOK,YOK
Akşehir,ÇAMLI,YOK,YOK,YOK
Akşehir,ÇİMENDERE,YOK,YOK,YOK
Akşehir,DEĞİRMENKÖY,YOK,YOK,YOK
Akşehir,DOĞRUGÖZ,YOK,YOK,YOK
Akşehir,ENGİLİ,YOK,YOK,YOK
Akşehir,GÖLÇAYIR,YOK,YOK,YOK
Akşehir,GÖZPINARI,YOK,YOK,YOK
Akşehir,ILICAK,YOK,YOK,YOK
Akşehir,KARABULUT,YOK,YOK,YOK
Akşehir,ORTACA,YOK,YOK,YOK
Akşehir,ORTAKÖY,YOK,YOK,YOK
Akşehir,REİS,YOK,YOK,YOK
Akşehir,SAVAŞ,YOK,YOK,YOK
Akşehir,SORKUN,SARI MEYAN,YOK,YOK
Akşehir,SÖĞÜTLÜ,YOK,YOK,YOK
Akşehir,TEKKE,YOK,YOK,YOK
Akşehir,TİPİKÖY,YOK,YOK,YOK
Akşehir,ULUPINAR,YOK,YOK,YOK
Akşehir,ÜÇHÜYÜK,YOK,YOK,YOK
Akşehir,YAŞARLAR,YOK,YOK,YOK
Akşehir,YAYLABELEN,YOK,YOK,YOK
Akşehir,YAZLA,YOK,YOK,YOK
Akşehir,YENİKÖY,YOK,YOK,YOK
Akşehir,YEŞİLKÖY,YOK,YOK,YOK
Akşehir,SARAY,YOK,YOK,YOK
Altınekin,OĞUZELİ,YOK,YOK,YOK
Altınekin,AKCAŞAR,YOK,YOK,YOK
Altınekin,AYIŞIĞI,YOK,YOK,YOK
Altınekin,AKKÖY,YOK,YOK,YOK
Altınekin,BORUKKUYU,YOK,YOK,YOK
Altınekin,HACINUMAN,YOK,YOK,YOK
Altınekin,KARAKAYA,YOK,YOK,YOK
Altınekin,KOÇAŞ,YOK,YOK,YOK
Altınekin,KOÇYAKA,YOK,YOK,YOK
Altınekin,MANTAR,YOK,YOK,YOK
Altınekin,YENİÖLMEZ,YOK,YOK,YOK
Altınekin,SARNIÇ,YOK,YOK,YOK
Altınekin,TOPRAKLIK,YOK,YOK,YOK
Altınekin,YENİKUYU,YOK,YOK,YOK
Altınekin,YENİYAYLA,YOK,YOK,YOK
Altınekin,DEDELER,YOK,YOK,YOK
