ilce_adi,mahalle_adi,konaklama_yeri_1,konaklama_yeri_2,konaklama_yeri_3
Ahırlı,ALİÇERÇİ,KÖYKONAĞI,YOK,YOK
Ahırlı,BADEMLİ,YOK,YOK,YOK
Ahırlı,BALIKLAVA,YOK,YOK,YOK
Ahırlı,BÜYÜKÖZ,YOK,YOK,YOK
Ahırlı,ÇİFTLİK,YOK,YOK,YOK
Ahırlı,ERDOĞAN,KÖYODASI,YOK,YOK
Ahırlı,KARACAKUYU,YOK,YOK,YOK
Ahırlı,KAYACIK,MİSAFİRHANE,YOK,YOK
Ahırlı,KURUÇAY,YOK,YOK,YOK
Ahırlı,KÜÇÜKÖZ,YOK,YOK,YOK
Akören,AVDAN,YOK,YOK,YOK
Akören,KAYASU,KÖYKONAĞI,YOK,YOK
Akören,AHMEDİYE,YOK,YOK,YOK
Akören,ALAN,KÖYODASI,YOK,YOK
Akören,BELKUYU,MİSAFİRHANE,YOK,YOK
Akören,ÇATÖREN,KÖYODASI,YOK,YOK
Akören,DUTLU,KÖYKONAĞI,YOK,YOK
Akören,ORHANİYE,KÖYKONAĞI,YOK,YOK
Akören,SÜLEYMANİYE,YOK,YOK,YOK
Akören,TÜLCE,YOK,YOK,YOK
Akören,KARAHÜYÜK,KÖYODASI,YOK,YOK
Akşehir,ÇAKILLAR,YOK,YOK,YOK
Akşehir,GEDİL,KÖYKONAĞI,YOK,YOK
Akşehir,KARAHÜYÜK,KÖYODASI,YOK,YOK
Akşehir,ADSIZ,YOK,YOK,YOK
Akşehir,ALANYURT,YOK,YOK,YOK
Akşehir,ALTUNTAŞ,YOK,YOK,YOK
Akşehir,ATAKENT,KÖYKONAĞI,YOK,YOK
Akşehir,BOZLAĞAN,MİSAFİRHANE,YOK,YOK
Akşehir,CANKURTARAN,YOK,YOK,YOK
Akşehir,ÇAMLI,YOK,YOK,YOK
Akşehir,ÇİMENDERE,KÖYKONAĞI,YOK,YOK
Akşehir,DEĞİRMENKÖY,KÖYKONAĞI,YOK,YOK
Akşehir,DOĞRUGÖZ,YOK,YOK,YOK
Akşehir,ENGİLİ,YOK,YOK,YOK
Akşehir,GÖLÇAYIR,YOK,YOK,YOK
Akşehir,GÖZPINARI,KÖYKONAĞI,YOK,YOK
Akşehir,ILICAK,YOK,YOK,YOK
Akşehir,KARABULUT,YOK,YOK,YOK
Akşehir,ORTACA,YOK,YOK,YOK
Akşehir,ORTAKÖY,YOK,YOK,YOK
Akşehir,REİS,KÖYKONAĞI,YOK,YOK
Akşehir,SAVAŞ,KÖYKONAĞI,YOK,YOK
Akşehir,SORKUN,YOK,YOK,YOK
Akşehir,SÖĞÜTLÜ,YOK,YOK,YOK
Akşehir,TEKKE,KÖYKONAĞI,YOK,YOK
Akşehir,TİPİKÖY,YOK,YOK,YOK
Akşehir,ULUPINAR,YOK,YOK,YOK
Akşehir,ÜÇHÜYÜK,YOK,YOK,YOK
Akşehir,YAŞARLAR,YOK,YOK,YOK
Akşehir,YAYLABELEN,KÖYKONAĞI,YOK,YOK
Akşehir,YAZLA,KÖYODASI,YOK,YOK
Akşehir,YENİKÖY,YOK,YOK,YOK
Akşehir,YEŞİLKÖY,YOK,YOK,YOK
Akşehir,SARAY,MİSAFİRHANE,YOK,YOK
Altınekin,OĞUZELİ,KÖYKONAĞI,YOK,YOK
Altınekin,AKCAŞAR,YOK,YOK,YOK
Altınekin,AYIŞIĞI,YOK,YOK,YOK
Altınekin,AKKÖY,YOK,YOK,YOK
Altınekin,BORUKKUYU,KÖYKONAĞI,YOK,YOK
Altınekin,HACINUMAN,YOK,YOK,YOK
Altınekin,KARAKAYA,KÖYKONAĞI,YOK,YOK
Altınekin,KOÇAŞ,YOK,YOK,YOK
Altınekin,KOÇYAKA,YOK,YOK,YOK
Altınekin,MANTAR,KÖYKONAĞI,YOK,YOK
Altınekin,YENİÖLMEZ,KÖYKONAĞI,YOK,YOK
Altınekin,SARNIÇ,MİSAFİRHANE,YOK,YOK
Altınekin,TOPRAKLIK,YOK,YOK,YOK
Altınekin,YENİKUYU,KÖYKONAĞI,YOK,YOK
Altınekin,YENİYAYLA,YOK,YOK,YOK
Altınekin,DEDELER,YOK,YOK,YOK
Altınekin,AKINCILAR,YOK,YOK,YOK
Beyşehir,ADAKÖY,YOK,YOK,YOK
Beyşehir,AĞILÖNÜ,KÖYKONAĞI,YOK,YOK
Beyşehir,AKBURUN,YOK,YOK,YOK
Beyşehir,AKÇABELEN,YOK,YOK,YOK
Beyşehir,AVDANCIK,YOK,YOK,YOK
Beyşehir,BADEMLİ,KÖYKONAĞI,YOK,YOK
Beyşehir,BAYAT,KÖYKONAĞI,YOK,YOK
Beyşehir,BAYAVŞAR,YOK,YOK,YOK
Beyşehir,BAYINDIR,YOK,YOK,YOK
Beyşehir,BAŞGÖZE,KÖYKONAĞI,YOK,YOK
Beyşehir,BEKDEMİR,YOK,YOK,YOK
Beyşehir,DAMLAPINAR,KÖYKONAĞI,YOK,YOK
Beyşehir,DOĞANBEY,YOK,YOK,YOK
Beyşehir,DOĞANCIK,KÖYKONAĞI,YOK,YOK
Beyşehir,DUMANLI,MİSAFİRHANE,YOK,YOK
Beyşehir,EMEN,KÖYKONAĞI,YOK,YOK
Beyşehir,ESENCE,YOK,YOK,YOK
Beyşehir,EYLİKLER,YOK,YOK,YOK
Beyşehir,EĞİRLER,YOK,YOK,YOK
Beyşehir,FASILLAR,YOK,YOK,YOK
Beyşehir,GÖKÇEKUYU,KÖYKONAĞI,YOK,YOK
Beyşehir,GÖKÇİMEN,YOK,YOK,YOK
Beyşehir,GÖLKAŞI,YOK,YOK,YOK
Beyşehir,GÖLYAKA,YOK,YOK,YOK
Beyşehir,GÖNEN,YOK,YOK,YOK
Beyşehir,GÖÇÜ,YOK,YOK,YOK
Beyşehir,GÜNDOĞDU,YOK,YOK,YOK
Beyşehir,HUĞLU,KÖYKONAĞI,YOK,YOK
Beyşehir,HÜSEYİNLER,KÖYKONAĞI,YOK,YOK
Beyşehir,İSAKÖY,YOK,YOK,YOK
Beyşehir,KARAALİ,YOK,YOK,YOK
Beyşehir,KARABAYAT,YOK,YOK,YOK
Beyşehir,KARADİKEN,YOK,YOK,YOK
Beyşehir,KARAHİSAR,KÖYKONAĞI,YOK,YOK
Beyşehir,KAYABAŞI,YOK,YOK,YOK
Beyşehir,KURUCUOVA,YOK,YOK,YOK
Beyşehir,KUŞLUCA,YOK,YOK,YOK
Beyşehir,KÜÇÜKAVŞAR,YOK,YOK,YOK
Beyşehir,MESUTLAR,YOK,YOK,YOK
Beyşehir,SADIKHACI,KÖYODASI,YOK,YOK
Beyşehir,SARIKÖY,YOK,YOK,YOK
Beyşehir,SEVİNDİK,YOK,YOK,YOK
Beyşehir,ŞAMLAR,YOK,YOK,YOK
Beyşehir,ÜÇPINAR,KÖYKONAĞI,YOK,YOK
Beyşehir,ÜSTÜNLER,KÖYKONAĞI,YOK,YOK
Beyşehir,ÜZÜMLÜ,YOK,YOK,YOK
Beyşehir,YAZYURDU,YOK,YOK,YOK
Beyşehir,YENİDOĞAN,YOK,YOK,YOK
Beyşehir,YEŞİLDAĞ,YOK,YOK,YOK
Beyşehir,YUKARIESENCE,YOK,YOK,YOK
Beyşehir,YUNUSLAR,YOK,YOK,YOK
Beyşehir,ÇİFTLİK,MİSAFİRHANE,YOK,YOK
Beyşehir,ÇİVRİL,YOK,YOK,YOK
Beyşehir,ÇUKURAĞIL,YOK,YOK,YOK
Bozkır,ÇAĞLAYAN,YOK,YOK,YOK
Bozkır,HAMZALAR,YOK,YOK,YOK
Bozkır,AKÇAPINAR,YOK,YOK,YOK
