,ilce_adi,mahalle_adi,konaklama_yeri
0,Ahırlı,ALİÇERÇİ,KÖY KONAĞI
1,Ahırlı,BADEMLİ,YOK
2,Ahırlı,BALIKLAVA,YOK
3,Ahırlı,BÜYÜKÖZ,YOK
4,Ahırlı,ÇİFTLİK,YOK
5,Ahırlı,ERDOĞAN,KÖY ODASI
6,Ahırlı,KARACAKUYU,YOK
7,Ahırlı,KAYACIK,MİSAFİRHANE
8,Ahırlı,KURUÇAY,YOK
9,Ahırlı,KÜÇÜKÖZ,YOK
10,Akören,AVDAN,YOK
11,Akören,KAYASU,KÖY KONAĞI
12,Akören,AHMEDİYE,YOK
13,Akören,ALAN,KÖY ODASI
14,Akören,BELKUYU,MİSAFİRHANE
15,Akören,ÇATÖREN,KÖY ODASI
16,Akören,DUTLU,KÖY KONAĞI
17,Akören,ORHANİYE,KÖY KONAĞI
18,Akören,SÜLEYMANİYE,YOK
19,Akören,TÜLCE,YOK
20,Akören,KARAHÜYÜK,KÖY ODASI
21,Akşehir,ÇAKILLAR,YOK
22,Akşehir,GEDİL,KÖY KONAĞI
23,Akşehir,KARAHÜYÜK,KÖY ODASI
24,Akşehir,ADSIZ,YOK
25,Akşehir,ALANYURT,YOK
26,Akşehir,ALTUNTAŞ,YOK
27,Akşehir,ATAKENT,KÖY KONAĞI
28,Akşehir,BOZLAĞAN,MİSAFİRHANE
29,Akşehir,CANKURTARAN,YOK
30,Akşehir,ÇAMLI,YOK
31,Akşehir,ÇİMENDERE,KÖY KONAĞI
32,Akşehir,DEĞİRMENKÖY,KÖY KONAĞI
33,Akşehir,DOĞRUGÖZ,YOK
34,Akşehir,ENGİLİ,YOK
35,Akşehir,GÖLÇAYIR,YOK
36,Akşehir,GÖZPINARI,KÖY KONAĞI
37,Akşehir,ILICAK,YOK
38,Akşehir,KARABULUT,YOK
39,Akşehir,ORTACA,YOK
40,Akşehir,ORTAKÖY,YOK
41,Akşehir,REİS,KÖY KONAĞI
42,Akşehir,SAVAŞ,KÖY KONAĞI
43,Akşehir,SORKUN,YOK
44,Akşehir,SÖĞÜTLÜ,YOK
45,Akşehir,TEKKE,KÖY KONAĞI
46,Akşehir,TİPİKÖY,YOK
47,Akşehir,ULUPINAR,YOK
48,Akşehir,ÜÇHÜYÜK,YOK
49,Akşehir,YAŞARLAR,YOK
50,Akşehir,YAYLABELEN,KÖY KONAĞI
51,Akşehir,YAZLA,KÖY ODASI
52,Akşehir,YENİKÖY,YOK
53,Akşehir,YEŞİLKÖY,YOK
54,Akşehir,SARAY,MİSAFİRHANE
55,Altınekin,OĞUZELİ,KÖY KONAĞI
56,Altınekin,AKCAŞAR,YOK
57,Altınekin,AYIŞIĞI,YOK
58,Altınekin,AKKÖY,YOK
59,Altınekin,BORUKKUYU,KÖY KONAĞI
60,Altınekin,HACINUMAN,YOK
61,Altınekin,KARAKAYA,KÖY KONAĞI
62,Altınekin,KOÇAŞ,YOK
63,Altınekin,KOÇYAKA,YOK
64,Altınekin,MANTAR,KÖY KONAĞI
65,Altınekin,YENİÖLMEZ,KÖY KONAĞI
66,Altınekin,SARNIÇ,MİSAFİRHANE
67,Altınekin,TOPRAKLIK,YOK
