ilce_adi;mahalle_adi;tibbi_ve_aromatik_bitki_yetistiriciligi
Ahırlı;ALİÇERÇİ;YOK
Ahırlı;BADEMLİ;YOK
Ahırlı;BALIKLAVA;ÇÖREKOTU, NANE, DAĞ ÇAYI
Ahırlı;BÜYÜKÖZ;YOK
Ahırlı;ÇİFTLİK;YOK
Ahırlı;ERDOĞAN;LAVANTA
Ahırlı;KARACAKUYU;YOK
Ahırlı;KAYACIK;LAVANTA, NANE, DAĞ ÇAYI
Ahırlı;KURUÇAY;ADA ÇAYI
Ahırlı;KÜÇÜKÖZ;YOK
Akören;AVDAN;KEKİK
Akören;KAYASU;NANE, EKİNEZYA, KEKİK, ADA ÇAYI
Akören;AHMEDİYE;YOK
Akören;ALAN;YOK
Akören;BELKUYU;ÇÖREKOTU
Akören;ÇATÖREN;NANE, KEKİK, ADA ÇAYI
Akören;DUTLU;NANE, DAĞ ÇAYI, KEKİK
Akören;ORHANİYE;ÇÖREKOTU
Akören;SÜLEYMANİYE;YOK
Akören;TÜLCE;YOK
Akören;KARAHÜYÜK;YOK
Akşehir;ÇAKILLAR;KEKİK, ADA ÇAYI
Akşehir;GEDİL;NANE, KEKİK, KİMYON
Akşehir;KARAHÜYÜK;HAŞHAŞ
Akşehir;ADSIZ;YOK
Akşehir;ALANYURT;YOK
Akşehir;ALTUNTAŞ;ÇÖREKOTU, KEKİK
Akşehir;ATAKENT;HAŞHAŞ
Akşehir;BOZLAĞAN;YOK
Akşehir;CANKURTARAN;YOK
Akşehir;ÇAMLI;ÇÖREKOTU, NANE, KEKİK
Akşehir;ÇİMENDERE;ÇÖREKOTU
Akşehir;DEĞİRMENKÖY;YOK
Akşehir;DOĞRUGÖZ;YOK
Akşehir;ENGİLİ;KATRAN, ÇÖREKOTU
Akşehir;GÖLÇAYIR;YOK
Akşehir;GÖZPINARI;ÇÖREKOTU
Akşehir;ILICAK;YOK
Akşehir;KARABULUT;ÇÖREKOTU
Akşehir;ORTACA;YOK
Akşehir;ORTAKÖY;YOK
Akşehir;REİS;YOK
Akşehir;SAVAŞ;DAĞ ÇAYI
Akşehir;SORKUN;YOK
Akşehir;SÖĞÜTLÜ;YOK
Akşehir;TEKKE;DAĞ ÇAYI, KEKİK
Akşehir;TİPİKÖY;ANASON, HAŞHAŞ
Akşehir;ULUPINAR;ÇÖREKOTU
Akşehir;ÜÇHÜYÜK;YOK
Akşehir;YAŞARLAR;YOK
Akşehir;YAYLABELEN;KEKİK
Akşehir;YAZLA;HAŞHAŞ, ÇÖREKOTU
Akşehir;YENİKÖY;YOK
Akşehir;YEŞİLKÖY;YOK
Akşehir;SARAY;YOK
Altınekin;OĞUZELİ;YOK
Altınekin;AKCAŞAR;YOK
Altınekin;AYIŞIĞI;YOK
Altınekin;AKKÖY;YOK
Altınekin;BORUKKUYU;YOK
Altınekin;HACINUMAN;ASPİR, LAVANTA, ANASON
Altınekin;KARAKAYA;IHLAMUR, ÇÖREKOTU, KEKİK
Altınekin;KOÇAŞ;DAĞ ÇAYI, KEKİK, KİMYON, ALIÇ
Altınekin;KOÇYAKA;YOK
Altınekin;MANTAR;YOK
Altınekin;YENİÖLMEZ;YOK
Altınekin;SARNIÇ;YOK
Altınekin;TOPRAKLIK;YOK
Altınekin;YENİKUYU;YOK
Altınekin;YENİYAYLA;YOK
Altınekin;DEDELER;ÇÖREKOTU
Altınekin;AKINCILAR;YOK
Beyşehir;ADAKÖY;YOK
Beyşehir;AĞILÖNÜ;YOK
Beyşehir;AKBURUN;YOK
Beyşehir;AKÇABELEN;YOK
Beyşehir;AVDANCIK;YOK
Beyşehir;BADEMLİ;YOK
Beyşehir;BAYAT;YOK
Beyşehir;BAYAVŞAR;YOK
Beyşehir;BAYINDIR;YOK
Beyşehir;BAŞGÖZE;YOK
Beyşehir;BEKDEMİR;YOK
Beyşehir;DAMLAPINAR;LAVANTA, KIZILCIK, KEKİK, KUŞBURNU
Beyşehir;DOĞANBEY;YOK
Beyşehir;DOĞANCIK;YOK
Beyşehir;DUMANLI;IHLAMUR, KEKİK, ADA ÇAYI
Beyşehir;EMEN;ASPİR
Beyşehir;ESENCE;YOK
Beyşehir;EYLİKLER;YOK
Beyşehir;EĞİRLER;YOK
Beyşehir;FASILLAR;YOK
Beyşehir;GÖKÇEKUYU;KEKİK, ADA ÇAYI
Beyşehir;GÖKÇİMEN;ASPİR, SUSAM
Beyşehir;GÖLKAŞI;YOK
Beyşehir;GÖLYAKA;YOK
Beyşehir;GÖNEN;KEKİK
Beyşehir;GÖÇÜ;YOK
Beyşehir;GÜNDOĞDU;YOK
Beyşehir;HUĞLU;KEKİK
Beyşehir;HÜSEYİNLER;YOK
Beyşehir;İSAKÖY;IHLAMUR, KEKİK, ADA ÇAYI
Beyşehir;KARAALİ;YOK
Beyşehir;KARABAYAT;YOK
Beyşehir;KARADİKEN;OĞUL OTU, KEKİK, ADA ÇAYI
Beyşehir;KARAHİSAR;YOK
Beyşehir;KAYABAŞI;YOK
Beyşehir;KURUCUOVA;YOK
Beyşehir;KUŞLUCA;YOK
Beyşehir;KÜÇÜKAVŞAR;YOK
Beyşehir;MESUTLAR;YOK
Beyşehir;SADIKHACI;HAŞHAŞ
Beyşehir;SARIKÖY;YOK
Beyşehir;SEVİNDİK;YOK
Beyşehir;ŞAMLAR;YOK
Beyşehir;ÜÇPINAR;IHLAMUR, KEKİK, ADA ÇAYI
Beyşehir;ÜSTÜNLER;YOK
Beyşehir;ÜZÜMLÜ;YOK
Beyşehir;YAZYURDU;YOK
Beyşehir;YENİDOĞAN;YOK
Beyşehir;YEŞİLDAĞ;IHLAMUR, KEKİK, ADA ÇAYI
Beyşehir;YUKARIESENCE;YOK
Beyşehir;YUNUSLAR;YOK
Beyşehir;ÇİFTLİK;YOK
Beyşehir;ÇİVRİL;YOK
Beyşehir;ÇUKURAĞIL;YOK
Bozkır;ÇAĞLAYAN;DAĞ ÇAYI, KEKİK
Bozkır;HAMZALAR;YOK
Bozkır;AKÇAPINAR;ADA ÇAYI
Bozkır;ARMUTLU;YOK
Bozkır;ARSLANTAŞ;YOK
Bozkır;AYDINKIŞLA;YOK
Bozkır;AYVALCA;YOK
Bozkır;BAĞYURDU;YOK
Bozkır;BAYBAĞAN;KEKİK
Bozkır;BOZDAM;YOK
Bozkır;DEREİÇİ;KİŞNİŞ
Bozkır;DEREKÖY;YOK
Bozkır;ELMAAĞAÇ;YOK
Bozkır;HACILAR;ÇÖREKOTU
Bozkır;HACIYUNUSLAR;ÇÖREKOTU
Bozkır;HARMANPINAR;YOK
Bozkır;HİSARLIK;YOK
Bozkır;IŞIKLAR;YOK
Bozkır;KARABAYIR;ÇÖREKOTU, DAĞ ÇAYI
Bozkır;KARACAARDIÇ;YOK
Bozkır;KARACAHİSAR;YOK
Bozkır;KARAYAHYA;YOK
Bozkır;KAYACILAR;YOK
Bozkır;KAYAPINAR;YOK
Bozkır;KINIK;YOK
Bozkır;KIZILÇAKIR;YOK
Bozkır;KİLDERE;LAVANTA, DAĞ ÇAYI, KEKİK
Bozkır;KOVANLIK;YOK
Bozkır;KOZAĞAÇ;YOK
Bozkır;KUŞÇA;YOK
Bozkır;KÜÇÜKHİSARLIK;NANE, ADA ÇAYI
Bozkır;PINARCIK;YOK
Bozkır;SARIOĞLAN;YOK
Bozkır;SAZLI;DAĞ ÇAYI, KEKİK
Bozkır;SOĞUCAK;YOK
Bozkır;SORKUN;YOK
Bozkır;SÖĞÜT;YOK
Bozkır;TARLABAŞI;YOK
Bozkır;TAŞBAŞI;YOK
Bozkır;TEPEARASI;YOK
Bozkır;TEPELİCE;NANE, DAĞ ÇAYI, KEKİK
Bozkır;ULUPINAR;YOK
Bozkır;ÜÇPINAR;NANE, DAĞ ÇAYI, KEKİK
Bozkır;YALNIZCA;YOK
Bozkır;YAZDAMI;YOK
Bozkır;YELBEYİ;YOK
Bozkır;YENİKÖY;YOK
Bozkır;YOLÖREN;YOK
Çeltik;GÖKPINAR;ÇÖREKOTU, NANE
Çeltik;ADAKASIM;REZENE, KİMYON
Çeltik;DOĞANYURT;ASPİR, KİMYON
Çeltik;KAŞÖREN;HAŞHAŞ, REZENE
Çeltik;KÜÇÜKHASAN;ASPİR, ÇÖREKOTU, REZENE
Çeltik;TORUNLAR;YOK
Çeltik;İSHAKUŞAĞI;ÇÖREKOTU, REZENE, KİMYON
Çeltik;HONAMLI;NANE
Cihanbeyli;BÖĞRÜDELİK;ÇÖREKOTU, NANE
Cihanbeyli;YAPALI;ÇÖREKOTU, KİMYON
Cihanbeyli;YENİCEOBA;KİMYON
Cihanbeyli;CUMHURİYET;KİMYON
Cihanbeyli;GEMECİK;KİMYON
Cihanbeyli;GÖKTEPE;KİMYON
Cihanbeyli;AĞABEYLİ;YOK
