ilce_adi,mahalle_adi,tibbi_ve_aromatik_bitki_1,tibbi_ve_aromatik_bitki_2,tibbi_ve_aromatik_bitki_3,tibbi_ve_aromatik_bitki_4,tibbi_ve_aromatik_bitki_5,tibbi_ve_aromatik_bitki_6,tibbi_ve_aromatik_bitki_7,tibbi_ve_aromatik_bitki_8
Ahırlı,ALİÇERÇİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,BADEMLİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,BALIKLAVA,ÇÖREKOTU,NANE,DAĞÇAYI,YOK,YOK,YOK,YOK,YOK
Ahırlı,BÜYÜKÖZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,ÇİFTLİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,ERDOĞAN,LAVANTA,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,KARACAKUYU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,KAYACIK,LAVANTA,NANE,DAĞÇAYI,YOK,YOK,YOK,YOK,YOK
Ahırlı,KURUÇAY,ADAÇAYI,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,KÜÇÜKÖZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,AVDAN,KEKİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,KAYASU,NANE,EKİNEZYA,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK
Akören,AHMEDİYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,ALAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,BELKUYU,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,ÇATÖREN,NANE,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK
Akören,DUTLU,NANE,DAĞÇAYI,KEKİK,YOK,YOK,YOK,YOK,YOK
Akören,ORHANİYE,ÇÖREKOTU,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,SÜLEYMANİYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,TÜLCE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,KARAHÜYÜK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÇAKILLAR,KEKİK,ADAÇAYI,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,GEDİL,NANE,KEKİK,KİMYON,YOK,YOK,YOK,YOK,YOK
Akşehir,KARAHÜYÜK,HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ADSIZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ALANYURT,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
